,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
1980,9567,en,Tears of the Sun,32.377,2003-03-07,6.8,1655,"['War', 'Action', 'Drama']","Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",86468162,121,He was trained to follow orders. He became a hero by defying them.
1981,244566,en,Life After Beth,30.681,2014-08-15,5.4,521,"['Romance', 'Comedy', 'Horror']","Zach is devastated by the unexpected death of his girlfriend, Beth. When she mysteriously returns, he gets a second chance at love. Soon his whole world turns upside down...",88273,90,Boy meets girl. Girl eats boy.
1982,56288,en,Spy Kids: All the Time in the World,33.378,2011-08-18,4.8,752,"['Family', 'Comedy', 'Action']","Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa is thrown back into the action along with her stepchildren when a maniacal Timekeeper attempts to take over the world. In order to save the world, Rebecca and Cecil must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them.",85564310,89,
1983,13283,en,Barbie as the Island Princess,35.423,2007-09-17,7.2,531,"['Animation', 'Family']","Barbie plays Rosella in this new musical film. Shipwrecked as a child, Rosella grows up on the island under the watchful eyes of her loving animal friends. The arrival of Prince Antonio leads Rosella and her furry pals to explore civilization and ultimately save the kingdom by uncovering a secret plot.",0,86,
1984,311056,ja,劇場版 境界の彼方 -I'll Be Here- 過去篇,39.652,2015-03-15,7.0,41,"['Animation', 'Fantasy', 'Action', 'Drama', 'Comedy']","It all began quite suddenly. Akihito, who appears human but is actually half yomu with the power to quickly heal himself, sees a freshman girl who appears ready to jump from the school rooftop. The girl, Mirai, who has the ability to manipulate blood, which is unique even among members of the spirit world, continues to fight her isolation. Akihito decides at that moment to save Mirai, but disturbing events soon begin to unfold.",0,82,
1985,861,en,Total Recall,26.114,1990-06-01,7.3,4350,"['Action', 'Adventure', 'Science Fiction']","Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.",261317921,113,"They stole his mind, now he wants it back."
1986,188927,en,Star Trek Beyond,34.122,2016-07-07,6.8,5490,"['Action', 'Adventure', 'Science Fiction']","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",343471816,122,
1987,532638,en,Open 24 Hours,33.745,2018-08-27,5.4,69,"['Horror', 'Thriller']","After setting her serial killer boyfriend on fire, a paranoid delusional woman gets a job at an all-night gas station. The isolation triggers her anxiety and hallucinations, with devastatingly gory results.",0,102,Pray you never run out of gas...
1988,439015,en,Slender Man,41.174,2018-08-10,4.4,1534,"['Horror', 'Mystery', 'Thriller']","In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",11817275,93,Can you see him?
1989,949,en,Heat,37.356,1995-12-15,7.9,5106,"['Action', 'Crime', 'Drama', 'Thriller']",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,187436818,170,A Los Angeles crime saga.
